Card,Tipo,Cidade,Bairro,Dormitorios,Suites,Banheiros,Vagas,Area_construida,Valor
https://www.lindalvoimoveis.com.br/imovel/casa-de-65-m-na-rua-tiradentes-cidade-nova-rio-grande-rs-a-venda-por-500000-ou-aluguel-por-2000-mes/CA0376-LINL?from=sale,Casa,Rio Grande,Cidade Nova,1,1,2,4,65.0,500000.0
https://www.lindalvoimoveis.com.br/imovel/casa-no-cassino-rio-grande-rs/CA0906-LINL?from=sale,Casa,Rio Grande,Cassino,5,2,1,6,120.0,370000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-170-m-na-rua-dos-platanos-cassino-rio-grande-rs-a-venda-por-1200000/CA0844-LINL?from=sale,Casa,Rio Grande,Cassino,3,2,2,4,170.0,1200000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-esquina-otima-localizacao-com-piscina/CA0553-LINL?from=sale,Casa,Rio Grande,Cassino,4,1,3,6,420.0,1200000.0
https://www.lindalvoimoveis.com.br/imovel/apartamento-de-100-m-na-rua-doutor-nascimento-centro-rio-grande-rs-a-venda-por-480000/AP0473-LINL?from=sale,Apartamento,Rio Grande,Centro,3,1,1,1,100.0,480000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-80-m-na-rua-dezenove-cassino-rio-grande-rs-a-venda-por-320000/CA0223-LINL?from=sale,Casa,Rio Grande,Cassino,2,2,2,3,80.0,320000.0
https://www.lindalvoimoveis.com.br/imovel/casa-com-2-dormitorios-a-venda-200-m-por-450000-cassino-rio-grande-rs/CA0858-LINL?from=sale,Casa,Rio Grande,Cassino,2,1,1,1,200.0,450000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-280-m-na-avenida-senador-tarso-dutra-parque-residencial-jardim-do-sol-rio-grande-rs-a-venda-por-580000/CA0466-LINL?from=sale,Casa,Rio Grande,Parque Residencial Jardim do Sol,3,1,2,5,280.0,580000.0
https://www.lindalvoimoveis.com.br/imovel/apartamento-de-120-m-na-avenida-silva-paes-centro-rio-grande-rs-a-venda-por-430000/AP0596-LINL?from=sale,Apartamento,Rio Grande,Centro,3,2,3,1,120.0,430000.0
https://www.lindalvoimoveis.com.br/imovel/apartamento-com-4-dormitorios-240-m-venda-por-850000-ou-aluguel-por-3800-mes-centro-rio-grande-rs/AP0700-LINL?from=sale,Apartamento,Rio Grande,Centro,4,2,3,1,240.0,850000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-85-m-na-rua-trinta-cassino-rio-grande-rs-a-venda-por-590000/CA0118-LINL?from=sale,Casa,Rio Grande,Cassino,4,1,4,2,85.0,590000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-90-m-na-rua-professora-odette-ribeiro-seus-cassino-rio-grande-rs-a-venda-por-250000/CA0214-LINL?from=sale,Casa,Rio Grande,Cassino,4,1,2,4,90.0,250000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-223-m-na-rua-guarda-marinha-greenhalg-getulio-vargas-rio-grande-rs-a-venda-por-380000/CA0484-LINL?from=sale,Casa,Rio Grande,Getúlio Vargas,4,2,4,3,223.0,380000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-200-m-na-praca-sete-de-setembro-centro-rio-grande-rs-a-venda-por-550000/CA0555-LINL?from=sale,Casa,Rio Grande,Centro,4,1,4,1,200.0,550000.0
